57.71 62.06 76.03 10.00 39.21
29.11 7.50 26.36 0.83 2.20
0.58 0.01 1.41 0.18 2.82
0.53 0.01 0.65 0.00 15.81
0.53 0.01 0.00 0.00 0.46
0.53 0.01 0.00 0.00 0.46
1.49 0.04 0.81 0.05 0.60
0.53 1.01 0.00 0.00 0.46
0.57 0.04 0.80 0.00 0.59
0.53 0.01 0.00 0.00 0.46
0.53 0.01 0.00 0.00 0.46
0.57 0.04 0.80 0.00 0.59
0.53 0.01 0.00 0.00 0.46
0.53 0.01 0.00 0.00 0.46
0.70 0.01 0.82 0.00 0.47
0.53 0.01 0.00 0.00 0.46
0.53 0.01 0.00 0.00 0.46
0.60 0.67 0.09 0.00 0.63
0.53 0.01 0.00 0.00 0.46
11.89 9.32 22.09 5.40 13.29
18.02 5.97 4.16 0.00 5.84
1.98 0.86 1.16 0.01 0.99
2.34 19.91 0.10 0.15 0.50
20.40 1.06 1.96 0.97 54.61
3.99 1.23 1.61 0.00 10.16
3.96 0.05 0.16 0.00 23.83
0.53 0.01 0.00 0.00 0.46
0.53 0.01 0.00 0.00 0.46
0.55 0.03 1.50 0.01 15.90
0.60 0.58 0.08 0.11 0.62
6.29 3.16 4.12 2.99 270.44
3.40 7.02 11.92 2.94 153.73
1149.78 384.66 158.86 366.02 69.68
606.61 2.75 8.43 0.40 37.81
15.02 156.89 31.64 7.30 334.15
0.53 0.01 0.00 0.00 0.46
57.45 15.19 17.41 21.87 68.07
15.77 0.30 1.04 0.00 1.88
2.57 0.21 0.02 0.01 18.19
124.29 272.38 113.79 326.93 371.61
4.62 2.74 16.59 0.95 8.11
10.11 0.30 1.37 0.01 105.21
4.83 0.02 0.04 0.00 30.10
0.59 0.00 0.00 0.00 1.41
5.79 0.02 0.04 0.00 35.14
89.61 19.49 100.77 9.15 23.97
0.29 0.00 0.00 0.00 0.71
144.40 48.53 113.18 26.94 123.96
28.74 0.27 0.93 0.02 65.05
8.17 0.07 0.17 0.01 36.59
451.85 6.28 52.12 24.30 223.45
9.93 25.88 8.76 24.87 15.56
0.34 0.01 0.11 0.03 1.52
14.53 0.07 0.38 0.01 61.02
10.88 0.01 0.30 0.01 21.80
5.31 0.02 0.04 0.00 32.62
5.87 0.03 0.05 0.00 31.04
0.59 0.00 0.00 0.00 1.41
